,Distillery,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral,x,y
0,Aberfeldy,2,2,2,0,0,2,1,2,2,2,2,2,161.63196667566282,159.19636896781094
1,Aberlour,3,3,1,0,0,4,3,2,2,3,3,2,203.9456802600237,235.30777749244635
2,Ardbeg,4,1,4,4,0,0,2,0,1,2,1,0,14.327041142185806,80.77185935314492
3,Ardmore,2,2,2,0,0,1,1,1,2,3,1,1,232.4500569706557,222.8597956563267
4,ArranIsleOf,2,3,1,1,0,1,1,1,0,1,1,2,66.62597713176888,81.02930192767235
5,Auchentoshan,0,2,0,0,0,1,1,0,2,2,3,3,120.66675436811545,97.00364874704974
6,Auchroisk,2,3,1,0,0,2,1,2,2,2,2,1,211.86290931235317,234.51468046184786
7,Aultmore,2,2,1,0,0,1,0,0,2,2,2,2,211.86290931235317,234.51468046184786
8,Balblair,2,3,2,1,0,0,2,0,2,1,2,1,149.9363290604795,274.1358878295714
9,Balmenach,4,3,2,0,0,2,1,3,3,0,1,2,184.9834529461287,223.10959011935074
10,Belvenie,3,2,1,0,0,3,2,1,0,2,2,2,209.97416820370913,233.80840437542383
11,BenNevis,4,2,2,0,0,2,2,0,2,2,2,2,88.75854580371714,184.44068532393567
12,Benriach,2,2,1,0,0,2,2,0,0,2,3,2,201.6062261791104,248.72456296955443
13,Benrinnes,3,2,2,0,0,3,1,1,2,3,2,2,203.57569403621017,233.19777722748267
14,Benromach,2,2,2,0,0,2,2,1,2,2,2,2,181.52963727560658,250.4032529338765
15,Bladnoch,1,2,1,0,0,0,1,1,0,2,2,3,111.89506038851471,0.0
16,BlairAthol,2,2,2,0,0,1,2,2,2,2,2,2,170.1217855032388,165.39358299188098
17,Bruichladdich,1,1,2,2,0,2,2,1,2,2,2,2,0.0,94.18541631576909
18,Bunnahabhain,1,2,1,1,0,1,1,1,1,2,2,3,15.77607350651482,103.00680611923553
19,Caol Ila,3,1,4,2,1,0,2,0,2,1,1,1,16.39317259403157,100.3826242443024
20,Cardhu,1,3,1,0,0,1,1,0,2,2,2,2,196.43306118486313,236.0293991575195
21,Craigallechie,2,2,2,0,1,2,2,1,2,2,1,4,206.39039176680294,237.10915951028664
22,Craigganmore,2,3,2,1,0,0,1,0,2,2,2,2,194.21361850755574,230.65488008437706
23,Dailuaine,4,2,2,0,0,1,2,2,2,2,2,1,201.0893368878315,234.1108901159755
24,Dalmore,3,2,2,1,0,1,2,2,1,2,3,1,145.27574747842638,259.962248859375
25,Dalwhinnie,2,2,2,0,0,2,1,0,1,2,2,2,139.90081116972965,189.67517048171203
26,Deanston,2,2,1,0,0,2,1,1,1,3,2,1,145.358918964286,119.80550212487015
27,Dufftown,2,3,1,1,0,0,0,0,1,2,2,2,209.84912257505093,232.2647762550887
28,Edradour,2,3,1,0,0,2,1,1,4,2,2,2,171.13052740469158,165.69357732661638
29,GlenElgin,2,3,1,0,0,2,1,1,1,1,2,3,199.82162666312774,250.46807226461146
30,GlenGarioch,2,1,3,0,0,0,3,1,0,2,2,2,257.97582696486427,220.5980682271097
31,GlenGrant,1,2,0,0,0,1,0,1,2,1,2,1,205.42244981233344,241.14780097764697
32,GlenKeith,2,3,1,0,0,1,2,1,2,1,2,1,211.86290931235317,234.51468046184786
33,GlenMoray,1,2,1,0,0,1,2,1,2,2,2,4,198.0370271471451,252.2115815596685
34,GlenOrd,3,2,1,0,0,1,2,1,1,2,2,2,129.87507997629837,245.45753209410168
35,GlenScotia,2,2,2,2,0,1,0,1,2,2,1,1,43.98864930189603,58.33065921281286
36,GlenSpey,1,3,1,0,0,0,1,1,1,2,0,2,205.57979953119033,240.77028313827532
37,Glenallachie,1,3,1,0,0,1,1,0,1,2,2,2,204.0316957565507,234.2306089770318
38,Glendronach,4,2,2,0,0,2,1,4,2,2,2,0,238.74339451602742,235.92004309860567
39,Glendullan,3,2,1,0,0,2,1,2,1,2,3,2,210.50977707282325,233.1243739192928
40,Glenfarclas,2,4,1,0,0,1,2,3,2,3,2,2,198.45816621867382,231.817693647728
41,Glenfiddich,1,3,1,0,0,0,0,0,0,2,2,2,209.97416820370913,233.80840437542383
42,Glengoyne,1,2,0,0,0,1,1,1,2,2,3,2,126.06674811761513,105.14904597766326
43,Glenkinchie,1,2,1,0,0,1,2,0,0,2,2,2,216.7794465477423,87.8642689724652
44,Glenlivet,2,3,1,0,0,2,2,2,1,2,2,3,196.77758224510325,224.0897882354884
45,Glenlossie,1,2,1,0,0,1,2,0,1,2,2,2,199.82162666312774,250.46807226461146
46,Glenmorangie,2,2,1,1,0,1,2,0,2,1,2,2,155.8337746100198,271.96311933148627
47,Glenrothes,2,3,1,0,0,1,1,2,1,2,2,0,205.431366154974,240.80329698685046
48,Glenturret,2,3,1,0,0,2,2,2,2,2,1,2,159.88596756325782,137.56405253993626
49,Highland Park,2,2,3,1,0,2,1,1,1,2,1,1,227.83903791540914,375.98685120297023
50,Inchgower,1,3,1,1,0,2,2,0,1,2,1,2,220.7781360363604,252.68102897758126
51,Isle of Jura,2,1,2,2,0,1,1,0,2,1,1,1,25.996676576167374,97.33758332117623
52,Knochando,2,3,1,0,0,2,2,1,2,1,2,2,197.07247664951262,234.74953965876557
53,Lagavulin,4,1,4,4,1,0,1,2,1,1,1,0,13.234358860251234,80.48477333347864
54,Laphroig,4,2,4,4,1,0,0,1,1,1,0,0,11.450968120647133,80.12457998509672
55,Linkwood,2,3,1,0,0,1,1,2,0,1,3,2,199.82162666312774,250.46807226461146
56,Loch Lomond,1,1,1,1,0,1,1,0,1,2,1,2,112.66171399312441,104.22085069229706
57,Longmorn,3,2,1,0,0,1,1,1,3,3,2,3,199.82162666312774,250.46807226461146
58,Macallan,4,3,1,0,0,2,1,4,2,2,3,1,205.4110747259837,236.85664749716761
59,Mannochmore,2,1,1,0,0,1,1,1,2,1,2,2,199.82162666312774,250.46807226461146
60,Miltonduff,2,4,1,0,0,1,0,0,2,1,1,2,199.82162666312774,250.46807226461146
61,Mortlach,3,2,2,0,0,2,3,3,2,1,2,2,210.44791721168843,232.75278354835973
62,Oban,2,2,2,2,0,0,2,0,2,2,2,0,60.916610090467316,147.87511228302583
63,OldPulteney,2,1,2,2,1,0,1,1,2,2,2,2,217.48015577473686,325.9212502623018
64,RoyalBrackla,2,3,2,1,1,1,2,1,0,2,3,2,164.07868589573687,244.3901747596592
65,RoyalLochnagar,3,2,2,0,0,2,2,2,2,2,3,1,202.3309020671324,194.85076382360785
66,Scapa,2,2,1,1,0,2,1,1,2,2,2,2,225.31981783712078,375.7873340315741
67,Speyburn,2,4,1,0,0,2,1,0,0,2,1,2,204.9486114574317,242.6575042535619
68,Speyside,2,2,1,0,0,1,0,1,2,2,2,2,154.76927109933067,201.83489378830882
69,Springbank,2,2,2,2,0,2,2,1,2,1,0,1,44.13489400857196,58.24327840344904
70,Strathisla,2,2,1,0,0,2,2,2,3,3,3,2,211.86290931235317,234.51468046184786
71,Strathmill,2,3,1,0,0,0,2,0,2,1,3,2,220.42230260713825,241.32934029749822
72,Talisker,4,2,3,3,0,1,3,0,1,2,2,0,16.17981774546098,235.4201604927366
73,Tamdhu,1,2,1,0,0,2,0,1,1,2,2,2,196.83400774424103,234.85976253222816
74,Tamnavulin,1,3,2,0,0,0,2,0,2,1,2,3,198.2933002759651,221.71500473245078
75,Teaninich,2,2,2,1,0,0,2,0,0,0,2,2,144.0031137174825,260.32087230170464
76,Tobermory,1,1,1,0,0,1,0,0,1,2,2,2,26.352702128781686,170.5321557077218
77,Tomatin,2,3,2,0,0,2,2,1,1,2,0,1,156.55092695222223,226.45330197408248
78,Tomintoul,0,3,1,0,0,2,2,1,1,2,1,2,192.20888408674708,221.4663120489936
79,Tormore,2,2,1,0,0,1,0,1,2,1,0,0,192.60478580391532,229.36645203870194
80,Tullibardine,2,3,0,0,1,0,2,1,1,2,2,1,163.54313919509232,125.08660168650113
